entite_politique,parti_origine,n,date
Coalition avenir Québec,Parti conservateur du Québec,2,2023-07-06
Coalition avenir Québec,Parti libéral du Québec,21,2023-07-06
Coalition avenir Québec,Parti québécois,15,2023-07-06
Coalition avenir Québec,Québec solidaire,2,2023-07-06
Parti conservateur du Québec,Coalition avenir Québec,2,2023-07-06
Parti conservateur du Québec,Québec solidaire,1,2023-07-06
Parti libéral du Québec,Coalition avenir Québec,7,2023-07-06
Parti libéral du Québec,Parti conservateur du Québec,1,2023-07-06
Parti libéral du Québec,Parti québécois,1,2023-07-06
Parti libéral du Québec,Québec solidaire,1,2023-07-06
Parti québécois,Coalition avenir Québec,13,2023-07-06
Parti québécois,Parti conservateur du Québec,5,2023-07-06
Parti québécois,Québec solidaire,9,2023-07-06
Québec solidaire,Coalition avenir Québec,1,2023-07-06
