entite_politique,parti_origine,n,date
Coalition avenir Québec,Parti conservateur du Québec,1,2023-05-29
Coalition avenir Québec,Parti libéral du Québec,16,2023-05-29
Coalition avenir Québec,Parti québécois,9,2023-05-29
Coalition avenir Québec,Québec solidaire,1,2023-05-29
Parti conservateur du Québec,Coalition avenir Québec,1,2023-05-29
Parti conservateur du Québec,Québec solidaire,1,2023-05-29
Parti libéral du Québec,Coalition avenir Québec,4,2023-05-29
Parti libéral du Québec,Parti conservateur du Québec,1,2023-05-29
Parti libéral du Québec,Parti québécois,1,2023-05-29
Parti libéral du Québec,Québec solidaire,1,2023-05-29
Parti québécois,Coalition avenir Québec,11,2023-05-29
Parti québécois,Parti conservateur du Québec,2,2023-05-29
Parti québécois,Québec solidaire,8,2023-05-29
Québec solidaire,Coalition avenir Québec,1,2023-05-29
