entite_politique,parti_origine,n,date
Coalition avenir Québec,Parti conservateur du Québec,6,2023-11-09
Coalition avenir Québec,Parti libéral du Québec,29,2023-11-09
Coalition avenir Québec,Parti québécois,17,2023-11-09
Coalition avenir Québec,Québec solidaire,5,2023-11-09
Parti conservateur du Québec,Coalition avenir Québec,1,2023-11-09
Parti conservateur du Québec,Québec solidaire,1,2023-11-09
Parti libéral du Québec,Coalition avenir Québec,12,2023-11-09
Parti libéral du Québec,Parti conservateur du Québec,2,2023-11-09
Parti libéral du Québec,Parti québécois,1,2023-11-09
Parti libéral du Québec,Québec solidaire,2,2023-11-09
Parti québécois,Coalition avenir Québec,19,2023-11-09
Parti québécois,Parti conservateur du Québec,6,2023-11-09
Parti québécois,Québec solidaire,17,2023-11-09
Québec solidaire,Parti québécois,1,2023-11-09
